"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o6231",1001,5307,155,0,0,0,26,0,91,1,34,0,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o68300",1002,2853,5,0,0,0,1,0,0,0,0,0,1,1,0,1,"True","False","True",2,NA,"",NA,"",""
"o33834",1002,3779,7,0,0,0,1,0,1,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o85256",1003,6139,10,0,0,0,3,0,1,0,1,1,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o9944",1003,6347,3264,0,0,0,11,0,2990,1,256,0,2,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o27037",1003,987,3,0,0,0,0,0,0,0,0,0,2,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o84043",1004,3214,4,0,0,0,1,0,0,0,1,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o55346",1004,3378,8,0,0,0,2,0,0,0,1,1,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o69222",1005,1689,3,0,0,0,0,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o30341",1006,3388,8,0,0,0,0,0,2,0,2,0,3,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o65660",1006,1497,3,0,0,0,1,0,0,0,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o12622",1006,4957,9,0,0,0,1,0,1,0,0,0,1,0,1,2,"True","False","True",2,NA,"",NA,"",""
"o39754",1006,2640,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o57231",1006,3404,6,1,0,0,0,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o5261",1007,1329,2,0,0,0,0,0,0,0,0,0,0,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o66187",1007,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o45172",1007,6442,7,0,0,0,0,0,0,1,1,0,3,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o72175",1007,1996,6,0,0,0,0,0,2,0,0,0,3,0,1,0,"True","False","True",2,NA,"",NA,"",""
