objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o19114,3426,17599,29,28,true,1,1,0,0,0,1,4,3,1,7,1,1,1,true,false,true,2,,,,,
o42041,3426,16244,32,31,true,1,0,1,5,0,1,3,2,2,4,1,1,2,true,false,true,2,,,,,
o8477,3429,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o55162,3432,9630,87,86,true,1,0,0,11,0,47,1,19,0,0,1,0,1,true,false,true,2,,,,,
o66610,3432,19137,31,30,true,1,0,0,1,0,3,4,3,2,4,1,1,1,true,false,true,2,,,,,
o47111,3433,3140,31,29,true,1,0,0,12,0,6,2,1,0,5,0,0,0,true,false,true,2,,,,,
o9852,3433,21812,79,78,true,1,0,1,17,0,15,5,18,1,8,2,2,0,true,false,true,2,,,,,
o10617,3435,5998,28,27,true,0,1,0,11,0,1,2,1,0,7,0,1,0,true,false,true,2,,,,,
o41347,3435,64,2,2,true,1,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o74591,3435,25668,50,49,true,0,0,1,3,0,2,7,8,0,6,1,2,3,true,false,true,2,,,,,
o15210,3437,11644,74,73,true,1,0,0,26,0,26,2,3,0,8,1,0,0,true,false,true,2,,,,,
o60846,3437,18882,42,41,true,1,0,1,1,0,3,3,2,0,15,1,1,2,true,false,true,2,,,,,
o41201,3442,64,3,2,true,1,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o41530,3447,64,2,2,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o16711,3450,64,2,1,true,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o67370,3452,15798,51,50,true,1,0,1,4,0,11,7,3,1,12,1,1,0,true,false,true,2,,,,,
o63659,3453,64,3,2,true,1,0,1,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90814,3453,14672,30,29,true,1,0,0,5,0,2,2,3,0,6,1,1,0,true,false,true,2,,,,,
o16744,3454,5088,23,22,true,1,1,8,1,0,0,2,1,0,4,1,0,1,true,false,true,2,,,,,
o82351,3456,10346,22817,22816,true,1,0,1,13,0,21671,1,1117,0,3,0,1,1,true,false,true,2,,,,,
o48002,3459,14862,46,45,true,1,1,0,14,0,2,3,5,1,8,0,1,2,true,false,true,2,,,,,
o72570,3459,10603,28,27,true,1,0,0,6,0,2,2,3,0,5,0,1,2,true,false,true,2,,,,,
o45398,3462,7130,30,29,true,1,0,1,11,0,0,2,2,1,7,1,1,0,true,false,true,2,,,,,
o90322,3462,7550,22,20,true,2,0,0,4,0,0,1,1,0,5,0,1,1,true,false,true,2,,,,,
o39493,3471,18498,37,36,true,2,0,0,5,0,2,4,3,0,4,1,2,3,true,false,true,2,,,,,
o45214,3480,20560,42,41,true,1,0,0,1,0,7,5,5,0,10,2,0,0,true,false,true,2,,,,,
o9520,3483,7624,21,19,true,2,0,0,4,0,2,2,4,0,3,0,0,0,true,false,true,2,,,,,
o70256,3486,47641,1200,1199,true,1,0,0,120,0,110,179,1,2,507,195,9,0,true,false,true,2,,,,,
o42546,3488,15174,23360,23357,true,1,1,0,19,0,22438,3,882,0,5,1,1,1,true,false,true,2,,,,,
o84343,3489,13374,31,31,true,1,0,0,3,0,2,3,4,1,4,1,1,1,true,false,true,3,,,,,
o41362,3490,64,1,1,true,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o30398,3492,46964,200,199,true,1,0,0,20,0,8,17,56,1,8,49,3,1,true,false,true,3,,,,,
o56014,3494,8208,38,37,true,1,0,0,14,0,5,3,2,0,7,1,1,1,true,false,true,2,,,,,
o70372,3494,18377,60,59,true,1,0,1,23,0,0,3,4,1,11,1,1,2,true,false,true,2,,,,,
o30411,3496,43851,186,185,true,1,0,0,17,0,7,16,52,2,8,49,4,0,true,false,true,3,,,,,
o55595,3497,16008,44,43,true,2,0,0,9,0,4,3,1,0,8,3,1,0,true,false,true,3,,,,,
o89616,3501,64,3,2,true,1,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o8461,3502,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o9874,3502,20603,5451,5450,true,1,0,0,32,0,5021,4,366,0,13,2,2,0,true,false,true,2,,,,,
o9769,3514,23369,5774,5773,true,1,0,1,42,0,5269,5,432,0,10,1,2,1,true,false,true,2,,,,,
